nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
GER,FW,26,1990,15.1,386,362,24,3,1,1,38,17,1,0,0,0,195,0,31
GAM,"MF,FW",19,1998,3.3,104,102,2,0,0,0,5,2,0,0,0,0,65,0,6
USA,"FW,MF",24,1992,17.9,373,328,42,0,1,1,5,1,0,0,0,0,265,3,11
GER,GK,25,1992,24.0,711,436,269,70,0,0,0,0,0,0,0,0,414,6,1
GER,DF,27,1989,20.8,900,630,268,6,0,1,86,262,0,0,0,0,547,2,53
BRA,DF,23,1994,26.4,1498,1133,357,29,0,15,83,318,10,2,7,0,1040,8,55
SRB,"FW,MF",24,1992,27.1,796,729,60,4,1,10,125,28,24,8,13,0,459,7,57
GER,"MF,DF",22,1994,28.6,1048,1014,30,30,2,8,4,0,0,0,0,0,815,4,22
JPN,"DF,MF",26,1991,25.4,1368,1167,199,22,0,18,40,174,3,1,0,0,1036,2,45
GER,"FW,MF",17,2000,9.4,151,135,16,0,0,0,2,0,1,0,0,0,87,0,7
GER,MF,16,2000,0.2,3,1,2,0,0,0,0,2,0,0,0,0,2,0,0
GER,GK,22,1994,10.0,546,448,97,32,0,0,0,0,0,0,0,0,405,1,0
GRE,DF,25,1992,29.0,1223,1136,81,80,0,6,2,1,0,0,0,0,895,6,20
GER,"MF,FW",26,1990,13.3,595,541,50,14,1,8,29,20,14,4,5,0,459,4,20
GER,"MF,FW",21,1996,8.8,239,232,6,0,3,0,6,0,2,0,2,0,170,1,9
TUN,MF,24,1993,0.6,26,26,0,0,0,0,1,0,0,0,0,0,21,0,0
ALB,DF,31,1986,16.1,736,692,43,39,0,8,4,4,0,0,0,0,564,1,15
GER,"DF,MF",29,1987,1.1,12,11,1,0,0,0,0,1,0,0,0,0,10,0,0
NED,DF,18,1998,16.0,701,641,57,25,0,5,5,32,0,0,0,0,508,3,18
BIH,MF,32,1984,4.1,244,201,43,17,0,5,33,7,19,10,6,0,174,0,6
GHA,DF,18,1998,0.5,35,33,1,1,0,1,0,0,0,0,0,0,32,1,0
GER,"FW,MF",28,1988,3.8,83,72,10,0,0,0,0,1,0,0,0,0,48,1,3
JPN,"MF,FW",20,1997,11.2,389,377,12,3,1,3,27,9,0,0,0,0,296,0,12
GER,"MF,FW",19,1997,0.2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
SUI,MF,18,1998,3.6,150,147,3,2,0,0,0,1,0,0,0,0,121,0,4
GER,MF,22,1995,6.6,427,411,16,14,1,4,0,0,2,0,0,0,350,0,11
BRA,MF,22,1995,14.6,656,631,23,17,2,2,4,6,0,0,0,0,519,2,17
CUW,"MF,DF",27,1989,2.0,54,50,4,0,0,1,3,1,0,0,0,0,38,0,2
BRA,DF,30,1987,5.1,275,261,13,13,0,2,4,0,0,0,0,0,208,1,3
GER,"MF,FW",24,1992,22.0,709,629,78,23,1,7,73,28,27,12,13,2,490,2,37
GER,DF,26,1991,3.6,158,147,10,9,0,3,0,1,0,0,0,0,134,1,3
TOG,"MF,FW",23,1994,23.8,639,636,2,0,2,3,55,2,0,0,0,0,446,1,35
NOR,MF,21,1996,14.5,682,659,21,10,0,3,30,3,7,2,5,0,520,2,27
BRA,FW,28,1989,7.0,164,141,21,0,0,2,5,1,0,0,0,0,102,2,2
CRO,DF,23,1994,8.6,366,339,27,25,0,8,3,2,0,0,0,0,285,0,1
GER,"DF,MF",25,1992,26.0,1199,872,320,14,0,2,64,306,0,0,0,0,814,7,58
TUR,"MF,FW",23,1994,9.5,269,266,1,0,0,1,13,0,1,0,1,0,197,2,10
GER,MF,18,1999,0.1,20,20,0,0,0,0,0,0,0,0,0,0,18,0,0
GER,MF,28,1988,1.8,70,70,0,0,0,1,2,0,0,0,0,0,48,0,3
AUT,"FW,MF",30,1987,21.0,597,574,22,1,1,6,19,11,0,0,0,0,387,1,27
GER,MF,27,1989,22.8,628,617,7,5,2,1,11,2,0,0,0,0,432,4,21
GER,"DF,MF",27,1990,26.4,1254,955,293,9,0,4,80,284,0,0,0,0,875,6,63
GER,GK,29,1987,3.0,122,86,36,11,0,0,0,0,0,0,0,0,93,0,0
CHI,"DF,MF",26,1990,7.8,423,324,97,7,0,1,23,90,0,0,0,0,325,2,13
GER,FW,24,1993,26.5,768,714,53,0,0,3,17,1,0,0,0,0,476,1,35
NGA,"FW,MF",20,1996,1.3,24,24,0,0,0,0,5,0,0,0,0,0,9,0,4
GER,"DF,MF",27,1990,18.7,759,668,88,14,0,6,25,74,0,0,0,0,523,3,16
GER,GK,31,1985,31.0,1151,760,390,115,0,2,0,0,0,0,0,0,810,1,2
SUI,MF,30,1987,25.8,1364,1160,198,105,0,9,122,1,91,38,45,3,1023,6,24
SEN,DF,26,1990,32.0,1813,1668,139,127,1,15,4,12,0,0,0,0,1459,6,22
GER,MF,23,1993,2.9,136,119,16,5,0,1,13,3,8,3,5,0,88,1,5
GER,DF,21,1996,5.0,172,162,9,8,0,0,0,1,0,0,0,0,130,1,3
GER,"DF,MF",21,1996,25.3,1217,1154,60,58,2,9,8,2,0,0,0,0,966,3,26
GER,"FW,MF",27,1990,6.9,231,224,7,1,0,1,15,2,0,0,0,0,168,0,18
GER,MF,18,1999,13.6,642,631,9,9,0,2,10,0,0,0,0,0,530,2,15
GER,FW,22,1995,21.0,440,423,14,0,0,0,13,0,0,0,0,0,257,3,19
SUI,"MF,DF",29,1988,17.6,862,828,34,32,0,14,3,2,0,0,0,0,711,0,7
JPN,FW,26,1991,2.3,61,60,1,1,0,0,2,0,0,0,0,0,40,0,4
GER,DF,19,1997,7.4,336,327,8,8,0,6,0,0,0,0,0,0,265,1,2
GER,"MF,FW",28,1989,0.6,13,13,0,0,0,0,0,0,0,0,0,0,6,0,0
NED,DF,22,1994,25.6,1349,1307,37,36,0,14,1,1,0,0,0,0,1129,5,10
GER,DF,25,1992,33.0,1746,1293,448,91,0,21,195,293,64,14,42,1,1301,5,44
AUS,"FW,MF",26,1991,20.6,793,775,18,2,2,5,28,16,0,0,0,0,549,0,36
GER,"MF,DF",20,1997,4.7,182,161,19,4,0,4,14,13,2,0,2,0,121,2,12
GER,"DF,FW",23,1994,22.0,1180,914,263,37,2,5,91,198,28,4,19,1,863,3,52
GER,"DF,MF",22,1995,24.6,1071,1019,47,47,0,5,2,0,0,0,0,0,859,5,8
SVK,MF,22,1994,8.3,317,312,5,2,0,2,6,0,0,0,0,0,257,0,6
HUN,"FW,MF",18,1999,0.3,8,8,0,0,0,0,0,0,0,0,0,0,7,0,1
NOR,MF,30,1987,24.3,1140,1095,43,40,1,21,3,2,0,0,0,0,969,2,10
SVK,DF,30,1986,15.3,782,625,155,11,0,0,19,144,0,0,0,0,606,2,31
NOR,GK,32,1984,31.0,1134,784,347,98,0,4,0,0,0,0,0,0,634,3,0
CIV,"FW,MF",31,1985,24.5,625,610,10,0,1,2,16,4,0,0,0,0,431,5,37
GER,DF,29,1988,10.6,565,537,28,27,0,5,0,1,0,0,0,0,489,0,3
GER,GK,29,1988,3.0,137,95,41,13,0,0,0,0,0,0,0,0,83,1,0
SUI,MF,28,1989,0.6,18,17,0,0,0,0,1,0,0,0,0,0,11,1,1
AUT,"MF,FW",21,1996,20.7,694,605,85,27,0,2,82,17,32,6,21,2,477,4,28
BIH,FW,32,1984,16.1,372,332,39,1,0,2,5,0,0,0,0,0,262,1,17
CZE,MF,26,1990,18.2,984,943,39,32,1,14,22,1,1,0,1,0,765,2,39
CRO,"FW,MF",26,1991,24.8,945,827,111,25,3,8,139,14,63,25,30,0,687,7,29
GER,DF,28,1989,25.7,1471,1400,67,56,0,13,4,11,0,0,0,0,1230,4,27
GER,MF,19,1998,17.6,822,778,44,28,1,3,26,1,15,7,7,0,707,0,11
BIH,DF,27,1990,6.1,296,287,8,6,0,4,0,2,0,0,0,0,252,1,5
POL,MF,31,1986,2.9,137,135,1,1,0,0,0,0,0,0,0,0,117,1,5
GER,"FW,DF",19,1998,0.7,43,37,6,0,0,0,0,6,0,0,0,0,37,0,0
AUT,MF,21,1995,21.0,1073,1017,51,42,2,14,11,8,1,1,0,0,882,5,25
NOR,DF,27,1990,10.8,577,553,24,19,0,11,0,5,0,0,0,0,499,0,6
GER,"DF,FW",22,1994,2.0,81,65,16,3,0,0,1,13,0,0,0,0,68,0,3
GER,MF,24,1993,13.5,740,634,99,34,1,6,73,16,49,16,27,0,570,7,14
NGA,DF,22,1995,18.8,1021,973,46,38,1,8,6,8,0,0,0,0,876,2,11
GER,DF,25,1991,31.0,2227,2134,87,85,2,15,0,2,0,0,0,0,1977,6,11
GER,"MF,FW",26,1991,12.9,476,455,18,4,0,1,17,12,2,0,2,0,360,3,17
GER,FW,25,1991,24.2,570,531,34,1,3,6,22,9,3,2,1,0,418,5,35
GER,MF,20,1996,19.4,851,801,41,17,2,2,49,10,14,8,2,0,658,9,29
GER,"FW,MF",24,1993,19.8,1031,858,168,10,1,8,81,157,1,0,0,0,751,5,54
GER,GK,27,1990,34.0,1449,1089,353,92,0,1,0,0,0,0,0,0,1032,7,1
CZE,"FW,DF",25,1992,24.4,1104,877,223,5,1,2,85,218,0,0,0,0,799,4,48
GER,"FW,DF",20,1997,0.8,22,22,0,0,0,0,3,0,0,0,0,0,14,0,1
AUT,"MF,FW",25,1992,2.3,99,97,1,1,0,0,2,0,0,0,0,0,71,1,9
GER,"FW,MF",18,1998,0.8,23,18,5,0,0,1,3,5,0,0,0,0,15,0,1
GER,FW,29,1987,9.7,270,238,30,1,1,2,2,2,0,0,0,0,182,2,9
GER,FW,22,1995,16.7,544,486,53,7,4,1,27,29,9,6,1,0,404,5,23
AUT,DF,20,1997,8.4,492,465,27,16,0,3,7,11,0,0,0,0,410,0,3
SUI,"FW,DF",25,1991,15.9,859,722,134,15,1,2,33,118,1,0,1,0,703,3,30
HUN,FW,29,1987,10.0,214,197,16,0,1,0,1,0,0,0,0,0,157,1,6
GER,MF,19,1997,0.2,8,8,0,0,0,0,1,0,0,0,0,0,6,0,0
NOR,FW,19,1998,0.9,21,17,4,1,0,0,2,1,1,0,0,1,12,0,2
GER,MF,19,1998,1.1,30,29,1,0,0,0,0,1,0,0,0,0,24,0,1
GER,"MF,FW",25,1991,7.2,231,208,20,3,0,1,38,4,13,5,7,0,150,3,5
PER,"FW,MF",38,1978,6.4,228,218,9,0,1,2,2,0,0,0,0,0,171,1,7
SVN,DF,30,1987,10.2,485,463,22,22,0,2,0,0,0,0,0,0,427,0,3
GER,DF,23,1993,31.0,1521,1437,75,69,0,23,21,6,0,0,0,0,1245,9,19
SRB,"DF,MF",21,1996,0.2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
DEN,DF,25,1992,22.2,1020,873,143,30,0,11,15,113,0,0,0,0,731,4,15
GER,DF,20,1997,9.2,348,291,56,11,0,4,22,44,1,1,0,0,272,1,6
COL,FW,24,1993,10.6,218,189,25,0,0,2,8,1,0,0,0,0,146,4,12
GER,"DF,MF",27,1990,19.5,1168,940,219,48,0,2,57,146,25,14,10,0,895,9,33
ESP,DF,20,1997,21.0,988,952,35,22,0,7,3,13,0,0,0,0,833,1,10
RUS,DF,27,1990,10.3,557,394,160,19,0,3,70,119,22,11,11,0,384,3,26
GER,"MF,FW",23,1993,17.9,689,649,37,5,0,6,57,23,8,8,0,0,492,3,34
GER,"DF,FW",21,1996,14.8,526,423,102,4,0,3,53,97,0,0,0,0,347,1,37
GER,"DF,MF",27,1989,13.0,643,527,109,21,0,8,121,42,46,11,33,2,384,7,42
GER,MF,27,1989,18.6,1206,1148,54,44,0,8,8,10,0,0,0,0,1002,4,38
GER,MF,34,1983,16.8,847,807,35,30,0,9,3,3,0,0,0,0,682,5,9
SRB,MF,25,1992,16.2,699,606,91,33,4,2,86,6,49,22,23,1,494,2,19
DEN,MF,17,2000,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
POL,DF,27,1990,5.0,149,117,31,0,0,0,15,31,0,0,0,0,71,1,8
TUR,MF,19,1998,18.6,922,885,35,32,1,3,1,3,0,0,0,0,720,2,21
GUI,FW,21,1996,9.5,266,255,10,1,0,0,1,0,0,0,0,0,189,1,8
GER,FW,29,1988,12.9,304,266,36,0,0,2,2,0,0,0,0,0,194,2,13
GER,"MF,FW",26,1991,10.7,304,288,16,2,0,1,18,4,0,0,0,0,213,0,17
GER,"MF,DF",19,1998,4.4,155,134,21,5,0,0,29,8,8,2,6,0,97,0,6
GER,GK,24,1993,34.0,1094,669,417,118,0,0,0,0,0,0,0,0,626,8,0
FRA,MF,21,1995,8.8,520,510,9,8,0,3,4,1,0,0,0,0,470,1,9
GER,"DF,MF",16,2000,1.7,82,80,2,2,0,1,1,0,0,0,0,0,75,0,0
JPN,"FW,MF",27,1990,21.1,640,620,11,2,0,4,25,4,0,0,0,0,449,9,26
SUI,"DF,MF",26,1991,7.8,425,344,81,11,1,3,37,63,7,4,3,0,331,0,11
AUT,DF,26,1991,0.5,31,27,4,4,0,0,0,0,0,0,0,0,27,0,0
BRA,"DF,FW",25,1992,0.4,14,12,2,2,0,0,0,0,0,0,0,0,11,0,0
GER,DF,20,1997,14.1,823,689,133,10,0,6,36,123,0,0,0,0,586,1,44
GER,GK,25,1992,33.0,1245,918,327,77,0,3,0,0,0,0,0,0,875,0,2
CHI,MF,28,1989,25.6,1759,1662,91,76,3,40,22,12,3,2,1,0,1492,6,28
GER,MF,23,1994,18.5,946,912,31,30,4,9,3,1,0,0,0,0,780,3,25
FIN,"MF,FW",22,1994,1.3,20,17,3,0,0,0,0,0,0,0,0,0,12,0,0
GER,DF,21,1996,27.0,1479,1429,46,46,0,9,4,0,0,0,0,0,1269,4,14
AUT,"MF,DF",29,1988,15.5,958,914,42,38,1,14,2,4,0,0,0,0,865,2,11
GER,"FW,MF",21,1996,25.8,1314,1191,114,27,6,16,115,26,61,41,15,2,972,9,51
GER,"MF,FW",18,1999,23.8,1119,1087,30,10,3,10,19,15,0,0,0,0,900,2,35
GER,"MF,FW",27,1990,12.7,541,503,35,6,2,4,56,26,2,0,0,0,396,3,22
SVN,MF,26,1990,0.3,34,33,1,1,0,1,0,0,0,0,0,0,30,0,2
GER,"FW,MF",25,1992,28.8,780,728,48,3,5,9,39,5,1,0,1,0,562,4,39
GER,"DF,MF",28,1989,17.7,961,839,121,25,2,7,33,96,0,0,0,0,731,1,26
JAM,"FW,DF",19,1997,24.6,1094,927,160,37,0,17,196,46,77,51,26,0,744,7,45
ARG,FW,24,1992,17.2,410,377,31,1,0,1,3,1,0,0,0,0,303,2,14
GRE,DF,18,1998,19.1,1208,1049,153,28,1,13,16,125,0,0,0,0,1006,6,19
AUT,GK,33,1984,1.0,39,30,9,3,0,0,0,0,0,0,0,0,30,0,0
GER,"DF,MF",33,1984,0.9,27,27,0,0,1,0,0,0,0,0,0,0,15,0,0
GER,DF,28,1989,26.1,1604,1548,52,50,0,3,0,2,0,0,0,0,1375,4,9
CRO,DF,21,1995,6.7,365,323,40,10,0,4,9,30,0,0,0,0,283,2,16
BRA,DF,24,1993,23.5,1425,1171,252,27,2,5,68,204,21,14,5,0,1136,2,45
SEN,DF,21,1996,26.8,1217,1095,116,50,0,9,24,66,0,0,0,0,905,6,23
GER,DF,23,1993,14.3,656,632,23,22,0,6,4,1,0,0,0,0,500,1,11
ROU,MF,27,1990,10.6,478,382,93,34,0,7,76,8,50,29,19,0,351,3,18
NGA,FW,26,1990,2.3,55,50,5,0,0,0,2,0,0,0,0,0,25,0,3
GER,"DF,FW",29,1988,27.8,1508,1065,425,48,0,7,171,326,51,35,16,0,966,18,41
GER,MF,27,1989,26.1,1263,1188,72,50,0,7,33,5,17,9,8,0,984,3,21
DEN,FW,24,1993,7.4,165,162,2,0,0,0,2,0,0,0,0,0,102,1,7
SUI,MF,28,1989,8.9,428,407,20,17,0,2,1,1,0,0,0,0,348,1,8
GER,GK,19,1997,5.0,158,104,53,12,0,0,0,0,0,0,0,0,89,1,0
PHI,"FW,DF",22,1995,10.0,382,290,87,3,0,2,45,84,0,0,0,0,264,5,21
ITA,"DF,FW",27,1990,25.4,1133,839,292,35,0,25,69,257,0,0,0,0,815,2,44
ESP,"MF,FW",24,1993,0.4,7,6,0,0,0,0,0,0,0,0,0,0,4,1,0
CIV,"MF,DF",21,1995,28.8,1179,1137,40,38,1,30,6,2,0,0,0,0,921,2,30
AUT,"DF,FW",25,1992,2.8,88,72,15,0,0,0,2,15,0,0,0,0,55,1,7
BIH,"FW,DF",23,1993,2.6,69,63,6,0,0,0,1,0,0,0,0,0,53,0,2
NGA,DF,29,1988,13.0,485,464,19,13,0,4,2,6,0,0,0,0,360,2,10
GER,"FW,MF",21,1996,19.3,530,479,43,12,2,2,57,4,27,12,7,0,344,8,27
NED,MF,32,1984,8.2,360,336,24,24,0,2,0,0,0,0,0,0,300,0,4
ARG,"FW,MF",29,1988,18.4,733,718,13,5,1,9,20,8,0,0,0,0,532,2,26
GER,GK,32,1985,14.0,442,293,146,29,0,0,0,0,0,0,0,0,283,3,0
GER,MF,19,1998,2.6,85,84,1,0,0,0,3,1,0,0,0,0,67,0,1
SWE,FW,23,1993,15.7,297,277,19,0,0,2,7,3,0,0,0,0,206,1,16
GER,GK,22,1994,15.0,513,359,153,27,0,0,0,0,0,0,0,0,320,1,0
GER,DF,25,1991,24.2,937,893,42,40,1,11,1,1,0,0,0,0,695,2,13
GER,MF,20,1997,18.9,557,548,7,1,1,4,5,1,0,0,0,0,442,2,19
DEN,"FW,MF",23,1994,3.7,108,104,4,1,0,2,5,0,3,0,1,0,81,0,6
JPN,FW,25,1992,21.2,348,297,50,0,1,0,10,2,0,0,0,0,255,1,14
NGA,"MF,FW",19,1997,6.4,232,217,14,4,1,1,10,3,5,3,2,0,173,1,13
GER,DF,22,1994,0.9,55,48,7,1,0,0,1,6,0,0,0,0,44,0,0
BRA,DF,22,1995,15.0,887,709,177,16,1,2,20,161,0,0,0,0,651,1,31
POR,"MF,FW",22,1994,17.9,866,792,68,7,1,1,32,49,12,6,4,0,674,6,42
FRA,DF,18,1998,25.2,1464,1414,48,48,1,12,0,0,0,0,0,0,1224,2,17
GER,MF,25,1991,25.4,2118,1994,114,98,7,2,18,16,0,0,0,0,1763,10,39
GER,"MF,FW",28,1988,3.1,163,136,26,7,0,0,18,13,6,4,2,0,114,1,6
SWE,MF,25,1991,15.2,639,530,104,30,9,2,87,9,64,30,27,1,464,5,22
FRA,DF,18,1999,13.6,651,631,20,20,1,2,0,0,0,0,0,0,527,0,2
FRA,FW,20,1997,14.1,299,281,17,4,1,1,12,1,1,0,0,0,229,1,11
SVN,MF,26,1990,22.4,1250,1129,114,45,3,2,80,18,51,20,20,1,1033,7,27
AUT,"DF,MF",20,1997,14.9,755,625,127,9,3,4,13,118,0,0,0,0,590,3,20
GER,DF,21,1996,24.3,1201,964,232,11,2,3,41,221,0,0,0,0,922,5,45
GER,DF,25,1991,13.1,750,593,151,16,2,4,28,125,10,7,3,0,585,6,15
AUT,"MF,FW",23,1994,19.9,946,842,98,26,4,3,65,58,13,3,6,1,674,6,23
GER,DF,32,1985,1.0,58,57,1,1,0,0,0,0,0,0,0,0,55,0,0
GUI,MF,22,1995,21.8,1242,1190,41,33,12,0,18,3,5,0,3,0,995,11,34
HUN,GK,27,1990,33.0,1105,791,310,104,0,1,0,0,0,0,0,0,767,4,1
AUT,"DF,MF",28,1989,14.3,921,875,39,21,2,4,10,18,0,0,0,0,765,7,11
GER,FW,21,1996,27.7,743,643,97,2,1,4,53,35,1,1,0,0,527,3,36
HUN,DF,24,1992,23.6,1375,1298,75,69,0,5,3,6,0,0,0,0,1143,2,6
DEN,FW,23,1994,18.5,592,568,18,0,2,1,12,5,0,0,0,0,364,6,42
SUI,GK,23,1994,1.0,42,33,9,2,0,1,0,0,0,0,0,0,35,0,0
AUT,"DF,FW",23,1994,9.0,428,349,75,7,0,0,19,65,3,0,3,0,321,4,16
GER,GK,20,1996,0.5,22,13,9,0,0,0,0,0,0,0,0,0,14,0,0
MAR,"MF,FW",20,1997,22.7,751,739,8,2,4,2,26,5,0,0,0,0,615,4,15
GHA,DF,23,1994,0.4,21,16,4,0,0,0,0,4,0,0,0,0,14,1,0
GER,"DF,MF",28,1989,25.8,1418,1037,371,72,1,3,164,240,59,5,49,4,1023,10,64
FRA,"DF,MF",26,1990,24.4,1373,1325,41,39,2,10,2,2,0,0,0,0,1074,7,25
SUI,"FW,MF",20,1997,10.2,221,216,5,0,1,1,7,0,2,0,0,0,161,0,14
GER,FW,20,1997,0.4,10,9,0,0,0,0,1,0,0,0,0,0,7,1,0
ESP,MF,30,1987,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
ITA,"DF,MF",29,1988,32.4,1801,1286,505,102,0,13,168,351,52,13,38,0,1261,10,62
GER,"FW,MF",19,1997,0.8,23,20,3,0,0,0,0,2,0,0,0,0,20,0,1
ARG,"FW,MF",28,1989,18.4,484,472,11,1,2,2,32,0,0,0,0,0,312,1,27
AUT,FW,28,1989,25.8,571,509,62,0,0,3,21,10,0,0,0,0,399,0,35
GER,MF,22,1995,22.0,879,851,22,21,1,11,23,0,0,0,0,0,686,6,15
CRO,"FW,MF",22,1995,2.9,60,57,2,2,0,0,0,0,0,0,0,0,41,1,1
SRB,DF,24,1993,22.1,1176,1120,52,46,0,8,1,6,0,0,0,0,997,4,10
GER,MF,21,1995,19.2,1060,1034,21,20,1,4,2,0,0,0,0,0,938,5,11
ALG,MF,22,1994,11.2,533,517,14,13,2,7,4,1,0,0,0,0,432,2,9
BRA,DF,34,1982,34.0,1705,1625,71,71,0,7,0,0,0,0,0,0,1453,9,2
ESP,DF,23,1993,0.3,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
GER,GK,28,1988,33.5,955,622,328,92,0,1,0,0,0,0,0,0,646,5,1
GER,DF,20,1996,26.3,1230,1170,56,27,0,11,3,29,0,0,0,0,1018,4,10
USA,MF,18,1998,14.0,512,486,22,3,4,3,3,19,0,0,0,0,364,4,16
UKR,"FW,MF",27,1989,17.4,503,456,44,17,0,3,107,1,24,7,16,1,331,3,28
BRA,"DF,MF",22,1995,1.2,65,50,15,4,0,2,3,11,0,0,0,0,45,0,4
GRE,"MF,FW",20,1996,10.5,225,212,12,0,0,0,41,12,0,0,0,0,145,1,13
GER,DF,30,1987,21.4,1170,895,269,20,0,3,69,249,0,0,0,0,826,6,50
SUI,MF,20,1996,0.1,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0
FRA,DF,21,1996,34.0,1943,1832,106,39,0,6,9,67,0,0,0,0,1616,5,18
TUR,"MF,FW",19,1998,11.1,464,402,55,18,1,0,47,0,34,14,17,1,350,7,17
COD,"MF,FW",22,1995,12.2,317,304,7,0,4,0,14,3,1,0,1,0,237,6,13
GER,MF,31,1985,26.8,1255,1211,39,22,0,1,52,17,0,0,0,0,881,5,40
GER,FW,26,1991,16.9,344,328,12,1,1,2,6,1,0,0,0,0,206,4,15
GER,"MF,DF",30,1987,21.7,1203,1002,198,51,0,10,104,97,50,19,29,0,971,3,18
BIH,MF,19,1998,3.4,269,261,8,4,1,1,9,0,4,3,1,0,241,0,3
GHA,MF,22,1995,0.1,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0
ARG,DF,28,1989,23.4,1076,839,230,10,0,3,89,215,5,2,3,0,767,7,36
GER,MF,22,1994,10.9,348,292,54,14,0,3,76,5,35,16,17,1,219,2,13
GER,"DF,MF",28,1989,24.1,1100,1046,48,47,0,8,2,1,0,0,0,0,910,6,9
DEN,"MF,DF",18,1998,1.2,43,32,11,1,0,1,2,9,1,0,1,0,29,0,1
CRO,"MF,FW",19,1998,8.1,315,288,27,10,0,6,34,5,12,5,5,0,211,0,19
POL,DF,25,1992,12.6,820,797,20,15,0,5,8,4,0,0,0,0,690,3,14
GER,FW,32,1985,15.4,364,337,26,0,0,2,13,1,0,0,0,0,223,1,11
GER,DF,25,1992,0.9,45,34,11,2,0,0,2,9,0,0,0,0,31,0,2
BEL,MF,19,1998,8.7,353,345,7,7,0,1,2,0,0,0,0,0,274,1,11
GER,GK,28,1989,34.0,1333,896,433,133,0,0,0,0,0,0,0,0,757,4,1
ARG,MF,20,1997,26.5,1133,1112,17,13,0,6,7,4,0,0,0,0,942,4,24
GER,FW,29,1988,10.6,235,211,23,0,1,4,2,0,0,0,0,0,159,1,10
JPN,"FW,MF",22,1994,8.0,179,174,4,1,2,0,11,0,0,0,0,0,131,1,13
GER,DF,21,1996,29.0,1555,1411,139,76,0,12,8,63,0,0,0,0,1273,5,19
USA,"MF,FW",26,1990,3.1,102,98,4,2,1,0,5,2,0,0,0,0,80,0,3
GER,FW,30,1987,12.5,391,380,10,1,1,5,13,2,0,0,0,0,279,1,26
AUT,"MF,FW",24,1992,19.0,784,696,84,15,2,16,116,30,39,15,23,0,543,4,44
ALG,FW,25,1992,15.0,440,427,11,0,0,3,23,3,0,0,0,0,272,2,17
BIH,"MF,FW",25,1991,2.1,80,70,10,0,0,1,12,2,8,4,1,1,56,0,3
CZE,GK,25,1992,34.0,1176,774,397,141,0,2,0,0,0,0,0,0,795,5,0
GER,"FW,DF",19,1998,1.1,32,32,0,0,0,0,3,0,0,0,0,0,20,0,1
GER,"MF,FW",29,1988,8.9,261,253,5,2,0,2,18,2,1,0,1,0,173,3,8
SEN,DF,30,1987,8.7,395,378,17,15,0,3,0,1,0,0,0,0,324,0,5
ITA,DF,26,1991,1.0,30,27,2,2,0,0,0,0,0,0,0,0,21,1,0
SWE,"DF,FW",23,1994,28.1,1450,1150,294,32,0,6,117,248,14,4,8,1,1103,6,68
AUT,"DF,MF",19,1998,6.7,369,287,80,10,0,2,12,70,0,0,0,0,287,2,13
GER,FW,29,1988,27.3,1389,1193,184,36,3,30,119,23,70,25,32,2,1035,12,42
GER,MF,20,1996,29.9,1000,962,33,17,0,9,26,15,0,0,0,0,736,5,60
KVX,"FW,MF",21,1996,4.3,116,112,4,0,0,3,20,4,0,0,0,0,72,0,9
SRB,DF,21,1995,29.5,1414,1328,84,84,0,38,8,0,0,0,0,0,1089,2,18
FIN,DF,31,1985,25.0,1486,1441,42,39,1,22,7,3,0,0,0,0,1235,3,10
GER,MF,20,1997,0.8,32,32,0,0,0,0,0,0,0,0,0,0,22,0,2
GER,MF,28,1989,20.7,967,948,15,15,0,6,4,0,0,0,0,0,764,4,22
GER,"DF,FW",22,1995,10.6,503,430,69,15,0,9,16,54,0,0,0,0,369,4,21
GER,DF,29,1988,4.6,214,204,10,10,0,1,0,0,0,0,0,0,184,0,2
CZE,"DF,FW",30,1986,31.4,1437,1109,327,15,0,5,26,312,0,0,0,0,1124,1,36
DEN,MF,25,1991,31.1,1294,1250,34,27,0,11,28,7,0,0,0,0,915,10,40
SUI,FW,21,1996,1.0,32,20,12,2,0,0,0,10,0,0,0,0,23,0,0
AUT,"MF,FW",29,1987,18.1,781,684,93,27,1,7,82,15,49,23,21,0,544,4,35
SUI,"FW,MF",26,1991,3.2,134,119,14,4,1,2,9,3,5,1,4,0,97,1,6
GER,MF,27,1990,24.9,978,879,89,39,2,4,95,15,29,14,14,1,709,10,34
BEL,FW,22,1995,21.9,424,395,26,2,0,3,13,2,0,0,0,0,316,3,17
KVX,"DF,MF",19,1997,1.4,59,50,9,1,0,1,1,8,0,0,0,0,44,0,2
GER,DF,18,1999,4.6,183,153,30,4,0,0,9,26,0,0,0,0,137,0,2
ESP,"MF,DF",27,1990,10.6,527,497,29,29,1,11,0,0,0,0,0,0,400,1,8
